# Ideographic Description Sequences (IDS) for BabelStone Han PUA
# URL: https://babelstone.co.uk/CJK/IDS_PUA.TXT
# Font: https://www.babelstone.co.uk/Fonts/PUA.html
# Version 1.292 (2021-03-16)
#
U+E20D		^⿰禾入$
U+E20E		^⿰禾召$
U+E20F		^⿰禾岙$
U+E210		^⿰禾差$
U+E211		^⿰禾𭖔$
U+E212		^⿰窑鸟$
U+E213		^⿰米云$
U+E214		^⿰米母$
U+E215		^⿰纟奋$
U+E216		^⿰纟就$
U+E217		^⿰缶几$
U+E218		^⿰缶半$
U+E219		^⿰缶曾$
U+E21A		^⿰缶青$
U+E21B		^⿰羊厉$
U+E21C		^⿰羊肖$
U+E21D		^⿰羊胡$
U+E21E		^⿰羊蚤$
U+E21F		^⿰耒𪩡$
U+E220		^⿰耳玄$
U+E221		^⿰耳𠃓$
U+E222		^⿰胃鸟$
U+E223		^⿰臣鸟$
U+E224		^⿰舌长$
U+E225		^⿰虫伐$
U+E226		^⿰虫右$
U+E227		^⿰虫壳$
U+E228		^⿰虫𬆢$
U+E229		^⿰衤裴$
U+E22A		^⿰身屯$
U+E22B		^⿰身犬$
U+E22C		^⿰车尤$
U+E22D		^⿰钅卉$
U+E22E		^⿰青疋$
U+E22F		^⿰青皮$
U+E230		^⿰革啦$
U+E231		^⿰𤣩布$
U+E232		^⿰𤣩弯$
U+E233		^⿰𤣩遗$
U+E234		^⿰𧾷罙$
U+E235		^⿰𧾷鸦$
U+E236		^⿳⺈田电$
U+E237		^⿴囗恋$
U+E238		^⿰巾鸟$
U+E239		^⿲彳鱼亍$
U+E23A		^⿰犭责$
U+E23B		^⿵门七$
U+E23C		^⿵门下$
U+E23D		^⿵门车$
U+E23E		^⿵门𭔰$
U+E23F		^⿱宀东$
U+E240		^⿰马叉$
U+E241		^⿰车丸$
U+E242		^⿰车冈$
U+E243		^⿰车旁$
U+E244		^⿰车曹$
U+E245		^⿱文见$
U+E246		^⿰火鲁$
U+E247		^⿰鱼行$
U+E248		^⿰石聂$
U+E249		^⿰石难$
U+E24A		^⿱龙山$
U+E24B		^⿰钅言$
U+E24C		^⿰钅豖$
U+E24D		^⿰禾岂$
U+E24E		^⿰禾丽$
U+E24F		^⿰白鸟$
U+E250		^⿰要鸟$
U+E251		^⿱敏鸟$
U+E252		^⿱穴贡$
U+E253		^⿰衤齐$
U+E254		^⿱老鸟$
U+E255		^⿰虫罗$
U+E256		^⿰虫赖$
U+E257		^⿰冫巨$
U+E258		^⿰冫有$
U+E259		^⿰冫曳$
U+E25A		^⿰冫皂$
U+E25C		^⿰冫朋$
U+E25D		^⿰冫祭$
U+E25E		^⿰讠⿺廴大$
U+E25F		^⿰讠迏$
U+E260		^⿰讠並$
U+E261		^⿰阝尼$
U+E262		^⿰阝㓜$
U+E263		^⿰阝合$
U+E264		^⿰阝⿱少鸟$
U+E265		^⿰阝莫$
U+E266		^⿰阝瞿$
U+E267		^⿰考阝$
U+E269		^⿰⿱吅王阝$
U+E26A		^⿰⿹？米阝$
U+E26B		^⿺廴上$
U+E26C		^⿺廴下$
U+E26D		^⿱山八$
U+E26E		^⿰山亏$
U+E26F		^⿰山千$
U+E271		^⿺元山$
U+E272		^⿱山毛$
U+E274		^⿰山长$
U+E275		^⿱山化$
U+E276		^⿱山公$
U+E277		^⿱山册$
U+E278		^⿱白山$
U+E279		^⿰山瓜$
U+E27A		^⿰山屳$
U+E27B		^⿱山印$
U+E27C		^⿰山⿸尸㔾$
U+E27D		^⿱山邦$
U+E27E		^⿰山耳$
U+E27F		^⿱山光$
U+E280		^⿰山因$
U+E281		^⿱山廷$
U+E282		^⿱山𠆿$
U+E284		^⿱山兊$
U+E286		^⿰山充$
U+E287		^⿰山赤$
U+E288		^⿱山坞$
U+E289		^⿱山轩$
U+E28A		^⿱山肖$
U+E28B		^⿱山足$
U+E28C		^⿱山㑈$
U+E28D		^⿱汾山$
U+E28E		^⿱山矣$
U+E28F		^⿱𪣆山$
U+E290		^⿱岩丌$
U+E291		^⿱山软$
U+E292		^⿰山尚$
U+E293		^⿱⿰山东山$
U+E294		^⿱山罔$
U+E295		^⿱山舍$
U+E296		^⿱山官$
U+E297		^⿱山郎$
U+E298		^⿰山咸$
U+E299		^⿰山⿱田令$
U+E29A		^⿰山㟖$
U+E29B		^⿱山难$
U+E29C		^⿱山堕$
U+E29D		^⿰山畬$
U+E29E		^⿱山番$
U+E29F		^⿱山登$
U+E2A0		^⿰山𤲞$
U+E2A1		^⿱山𤲞$
U+E2A2		^⿰山麓$
U+E2A3		^⿰土刂$
U+E2A4		^⿺九土$
U+E2A5		^⿰土了$
U+E2A6		^⿰土三$
U+E2A7		^⿰土万$
U+E2A8		^⿰土与$
U+E2AA		^⿰土⿱亠了$
U+E2AB		^⿰土⿱丷了$
U+E2AC		^⿰土丑$
U+E2AD		^⿱双土$
U+E2AE		^⿰土甩$
U+E2AF		^⿰土囚$
U+E2B0		^⿰土⿱𠆢下$
U+E2B2		^⿰土⿹？几$
U+E2B3		^⿱加土$
U+E2B4		^⿰土戍$
U+E2B5		^⿱列土$
U+E2B6		^⿰土贞$
U+E2B7		^⿱光土$
U+E2B8		^⿰土团$
U+E2B9		^⿰土乓$
U+E2BA		^⿰土臼$
U+E2BB		^⿰土𠂢$
U+E2BC		^⿰土舟$
U+E2BD		^⿰土凫$
U+E2BE		^⿱坞几$
U+E2BF		^⿱⿰冫历土$
U+E2C0		^⿰工贡$
U+E2C1		^⿰土𡰪$
U+E2C2		^⿰土走$
U+E2C3		^⿰土芜$
U+E2C4		^⿰土苈$
U+E2C5		^⿰土辰$
U+E2C6		^⿰土豕$
U+E2C7		^⿰土连$
